ID,TimePoint,W1,W5
Q348,pre,1.04276378865147,0.906827278184985
Q350,pre,0.949119039977549,1.24819933536041
Q351,pre,0.631365124131972,1.28047067262936
Q363,pre,0.733823024660938,0.627103908495982
Q364,pre,1.88334019643857,0.805086319344869
Q365,pre,2.285465959829,0.482603718532166
Q368,pre,1.10829564011039,0.471769747960503
Q348,2wk,0.631910633176243,0.591348536273823
Q350,2wk,0.593168045142792,1.03105734105742
Q351,2wk,1.28813063684217,0.759665855915831
Q363,2wk,0.547065636315307,0.934492074477923
Q364,2wk,0.861430091670988,0.490746282500908
Q365,2wk,1.00479254792171,0.959847207446276
Q368,2wk,1.26589516069445,0.925050522315767
